id,category,query,expected_route,actual_route,actual_intent,status_code,result,latency_seconds,response_chars,source_count,matched_keywords,matched_keyword_count,expected_keyword_count,reference_source,notes,llm_provider,llm_model,error,response_preview
1,greeting,สวัสดีครับ,answer,router,greeting,200,PASS,0.025,172,0,สวัสดี | ภาควิชา,2,3,system_prompt,ทดสอบ greeting เบื้องต้น,openai,gpt-4.1,,สวัสดีครับ ผมคือ น้องไฟฟ้า (ECS AI Assistant) ถามข้อมูลเกี่ยวกับภาควิชาวิศวกรรมไฟฟ้า มหาวิทยาลัยศิลปากรได้เลยครับ ไม่ว่าจะเป็นหลักสูตร รายวิชา อาจารย์ หรือช่องทางติดต่อครับ
2,greeting,ช่วยอะไรได้บ้าง,answer,router,capability,200,PASS,0.01,602,0,หลักสูตร | อาจารย์ | ข้อมูลติดต่อ,3,4,system_prompt,ทดสอบความสามารถที่ระบบประกาศขอบเขต,openai,gpt-4.1,,ผมตอบจากฐานข้อมูลเอกสารและข้อมูลทางการของภาควิชาวิศวกรรมไฟฟ้า มหาวิทยาลัยศิลปากรครับ ข้อมูลที่มีในระบบครอบคลุมภาพรวมภาควิชา ข้อมูลติดต่อ อาจารย์ บุคลากร และข้อมูลหลักสูตร เช่น หลักสูตร ECS/วิศวกรรมอิเล็กทรอนิกส์และระบบคอมพิวเตอร์ พ.ศ. 2565 
3,contact,ภาควิชาวิศวกรรมไฟฟ้าตั้งอยู่ที่ไหน,rag,answer,domain_question,200,PASS,6.555,545,8,มหาวิทยาลัยศิลปากร | พระราชวังสนามจันทร์ | นครปฐม,3,3,department_contact.md,ทดสอบข้อมูลที่ตั้ง,openai,gpt-4.1,,ภาควิชาวิศวกรรมไฟฟ้า คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม มหาวิทยาลัยศิลปากร ตั้งอยู่ที่ - ชั้น 5 อาคารคณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม - มหาวิทยาลัยศิลปากร (วิทยาเขตพระราชวังสนามจันทร์) - เลขที่ 6 ถนนราชมรรคาใน ตำบลพระปฐมเจดีย์ อ
4,contact,เบอร์ติดต่อภาควิชามีเบอร์อะไรบ้าง,rag,answer,domain_question,200,PASS,6.245,825,8,034-219364-66 ต่อ 25520 | 089-979-7911 | 034-241971,3,3,department_contact.md,ทดสอบหลายหมายเลขในคำตอบเดียว,openai,gpt-4.1,,ภาควิชาวิศวกรรมไฟฟ้า มหาวิทยาลัยศิลปากร มีช่องทางการติดต่อดังนี้ค่ะ **หมายเลขโทรศัพท์** - 034-219364-66 ต่อ 25520 - 089-979-7911 - 034-241971 (โทรศัพท์/โทรสาร) - 034-109686 ต่อ 209550 - 034-109686 ต่อ 209000 (สำนักงานคณะ) - โทรสาร: 034-1096
5,contact,ภาควิชามี Facebook ไหม,rag,answer,domain_question,200,PASS,4.219,437,1,Department of Electrical Engineering - Silpakorn University | Facebook,2,2,department_contact.md,ทดสอบช่องทางออนไลน์,openai,gpt-4.1,,ไม่พบข้อมูลช่องทางติดต่อภาควิชาวิศวกรรมไฟฟ้า รวมถึง Facebook หรือโซเชียลมีเดียอื่นๆ ในแหล่งข้อมูลทางการที่มีอยู่ขณะนี้ค่ะ แนะนำให้ติดต่อสอบถามโดยตรงกับภาควิชาวิศวกรรมไฟฟ้าได้ที่ - โทรศัพท์ 034-219364-66 ต่อ 25520 - 089-979-7911 - โทรศัพท์/โ
6,contact,สำนักงานภาควิชาอยู่ชั้นไหน,rag,answer,domain_question,200,PASS,6.401,469,13,ชั้น 5 | อาคารคณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม,2,2,faculty_department_overview.md,ทดสอบข้อมูลจาก faculty overview,openai,gpt-4.1,,"สำนักงานภาควิชาวิศวกรรมไฟฟ้า ตั้งอยู่ที่: - ชั้น 5 อาคารคณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม มหาวิทยาลัยศิลปากร หากต้องการรายละเอียดเพิ่มเติม สามารถติดต่อภาควิชาได้ที่ - โทรศัพท์: 034-219364-66 ต่อ 25520, 089-979-7911 - โทรศัพท์/โทรสาร: "
7,contact,คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรมติดต่ออีเมลอะไร,rag,answer,domain_question,200,PASS,5.335,388,5,fac-en@silpakorn.edu,1,1,faculty_department_overview.md,ทดสอบข้อมูลระดับคณะ,openai,gpt-4.1,,อีเมลติดต่อคณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม มหาวิทยาลัยศิลปากร คือ - Email: fac-en@silpakorn.edu ข้อมูลเพิ่มเติม: - โทรศัพท์: 034-109686 ต่อ 209000 - ที่อยู่: พระราชวังสนามจันทร์ เลขที่ 6 ถ.ราชมรรคาใน ต.พระปฐมเจดีย์ อ.เมือง จ.นครปฐม 
8,contact,เว็บไซต์ภาควิชาคืออะไร,rag,answer,domain_question,200,PASS,5.348,593,8,https://ee-eng.su.ac.th/,1,1,faculty_department_overview.md,ทดสอบ URL หน่วยงาน,openai,gpt-4.1,,เว็บไซต์ทางการของภาควิชาวิศวกรรมไฟฟ้า มหาวิทยาลัยศิลปากร คือ - เว็บไซต์หลัก: [https://ee-eng.su.ac.th/](https://ee-eng.su.ac.th/) - Facebook: [Department of Electrical Engineering - Silpakorn University](http://www.facebook.com/ElectricalEn
9,overview,ภาควิชาวิศวกรรมไฟฟ้าก่อตั้งเมื่อปีอะไร,rag,answer,domain_question,200,PASS,5.913,537,5,2550,1,1,faculty_department_overview.md,ทดสอบประวัติภาควิชา,openai,gpt-4.1,,ภาควิชาวิศวกรรมไฟฟ้า คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม มหาวิทยาลัยศิลปากร - ก่อตั้งเมื่อปี พ.ศ. 2550 - เปิดรับนักศึกษารุ่นแรกในปีการศึกษา 2550 - มีวัตถุประสงค์เพื่อขยายโอกาสทางการศึกษาและบริการวิชาการด้านวิศวกรรมไฟฟ้า อิเล็กทรอนิกส์ แ
10,overview,ภาควิชาเปิดรับนักศึกษาปริญญาโทครั้งแรกปีไหน,rag,answer,domain_question,200,PASS,6.747,505,13,2560,1,1,faculty_department_overview.md,ทดสอบประวัติการเปิดหลักสูตร,openai,gpt-4.1,,ภาควิชาวิศวกรรมไฟฟ้า มหาวิทยาลัยศิลปากร เปิดรับนักศึกษาระดับปริญญาโท (หลักสูตรวิศวกรรมศาสตรมหาบัณฑิต สาขาวิชาวิศวกรรมไฟฟ้าและคอมพิวเตอร์) เป็นครั้งแรกในปีการศึกษา 2560 แหล่งอ้างอิง: [เว็บไซต์คณะวิศวกรรมศาสตร์และเทคโนโลยีอุตสาหกรรม ม.ศิลปากร
